state_code,district_code,area_name,age_band,residence,persons_count,male_persons_count,female_persons_count,source,source_id,source_sha256,source_row,observation_year,status
27,517,District - Thane (21),All ages,Total,11060148,5865078,5195070,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,407,2011,historical_control_not_current_demand
27,517,District - Thane (21),All ages,Rural,2545470,1300136,1245334,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,407,2011,historical_control_not_current_demand
27,517,District - Thane (21),All ages,Urban,8514678,4564942,3949736,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,407,2011,historical_control_not_current_demand
27,517,District - Thane (21),0-4,Total,925381,479864,445517,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,408,2011,historical_control_not_current_demand
27,517,District - Thane (21),0-4,Rural,254453,129956,124497,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,408,2011,historical_control_not_current_demand
27,517,District - Thane (21),0-4,Urban,670928,349908,321020,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,408,2011,historical_control_not_current_demand
27,517,District - Thane (21),5-9,Total,982539,513568,468971,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,409,2011,historical_control_not_current_demand
27,517,District - Thane (21),5-9,Rural,273427,139554,133873,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,409,2011,historical_control_not_current_demand
27,517,District - Thane (21),5-9,Urban,709112,374014,335098,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,409,2011,historical_control_not_current_demand
27,517,District - Thane (21),10-14,Total,994881,523506,471375,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,410,2011,historical_control_not_current_demand
27,517,District - Thane (21),10-14,Rural,271491,140467,131024,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,410,2011,historical_control_not_current_demand
27,517,District - Thane (21),10-14,Urban,723390,383039,340351,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,410,2011,historical_control_not_current_demand
27,517,District - Thane (21),15-19,Total,977232,530784,446448,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,411,2011,historical_control_not_current_demand
27,517,District - Thane (21),15-19,Rural,238288,124648,113640,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,411,2011,historical_control_not_current_demand
27,517,District - Thane (21),15-19,Urban,738944,406136,332808,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,411,2011,historical_control_not_current_demand
27,517,District - Thane (21),20-24,Total,1147520,611986,535534,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,412,2011,historical_control_not_current_demand
27,517,District - Thane (21),20-24,Rural,254861,130064,124797,observed,census_c14_maharashtra,d460de9ab07eb4383efaded69b6e766f9447558994fe7eadc465c4359c981e38,412,2011,historical_control_not_current_demand
